sex,age,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 
F,Y15-24,PC,AT	10 	8 	7 	8 	8 	8 	9 
F,Y15-24,PC,BG	3 	4 	4 	5 	4 	4 	3 
F,Y15-24,PC,CY	8 	10 	8 	9 	6 	7 	6 
F,Y15-24,PC,CZ	6 	7 	6 	5 	6 	5 	6 
F,Y15-24,PC,DK	13 	15 	12 	13 	13 	13 	12 
F,Y15-24,PC,EE	12 	13 	10 	9 	12 	6 	7 
F,Y15-24,PC,EL	3 	3 	4 	4 	2 	2 	2 
F,Y15-24,PC,ES	16 	14 	13 	12 	9 	9 	9 
F,Y15-24,PC,FI	17 	20 	17 	16 	16 	17 	17 
F,Y15-24,PC,FR	10 	11 	12 	10 	9 	13 	14 
F,Y15-24,PC,HR	9 	7 	9 	10 	: 	: 	4 
F,Y15-24,PC,HU	6 	6 	5 	5 	5 	4 	3 
F,Y15-24,PC,IE	6 	7 	8 	6 	6 	6 	5 
F,Y15-24,PC,IT	9 	8 	9 	7 	6 	8 	6 
F,Y15-24,PC,LT	7 	11 	9 	6 	4 	5 	6 
F,Y15-24,PC,LV	3 	6 	6 	6 	6 	7 	5 
F,Y15-24,PC,MT	5 	: 	5 	7 	6 	6 	7 
F,Y15-24,PC,NL	12 	12 	12 	9 	8 	9 	9 
F,Y15-24,PC,NO	7 	8 	7 	7 	9 	9 	8 
F,Y15-24,PC,PL	7 	7 	6 	7 	7 	7 	7 
F,Y15-24,PC,PT	15 	13 	12 	11 	10 	9 	9 
F,Y15-24,PC,RO	2 	: 	: 	: 	: 	: 	2 
F,Y15-24,PC,SE	21 	21 	23 	24 	24 	26 	25 
F,Y15-24,PC,SI	11 	5 	13 	4 	7 	8 	11 
F,Y15-24,PC,SK	6 	7 	6 	4 	5 	4 	4 
F,Y15-24,PC,UK	7 	7 	8 	7 	7 	7 	6 
F,Y15-74,PC,AT	3 	3 	3 	3 	3 	3 	3 
F,Y15-74,PC,BG	2 	1 	2 	2 	2 	1 	2 
F,Y15-74,PC,CY	3 	4 	3 	3 	2 	3 	2 
F,Y15-74,PC,CZ	2 	2 	2 	2 	2 	2 	2 
F,Y15-74,PC,DK	6 	7 	5 	6 	5 	5 	5 
F,Y15-74,PC,EE	4 	4 	3 	3 	4 	3 	3 
F,Y15-74,PC,EL	1 	1 	1 	1 	1 	1 	1 
F,Y15-74,PC,ES	4 	4 	3 	3 	3 	3 	3 
F,Y15-74,PC,FI	5 	5 	5 	5 	5 	5 	5 
F,Y15-74,PC,FR	3 	3 	3 	2 	2 	3 	3 
F,Y15-74,PC,HR	3 	2 	2 	2 	1 	1 	1 
F,Y15-74,PC,HU	2 	3 	2 	2 	2 	2 	1 
F,Y15-74,PC,IE	3 	2 	2 	2 	2 	2 	2 
F,Y15-74,PC,IT	2 	2 	2 	2 	2 	2 	2 
F,Y15-74,PC,LT	3 	4 	3 	2 	2 	2 	2 
F,Y15-74,PC,LV	2 	2 	3 	3 	3 	3 	3 
F,Y15-74,PC,MT	2 	2 	3 	3 	3 	3 	3 
F,Y15-74,PC,NL	4 	4 	4 	3 	3 	3 	3 
F,Y15-74,PC,NO	3 	3 	3 	3 	3 	3 	3 
F,Y15-74,PC,PL	2 	2 	2 	2 	2 	2 	2 
F,Y15-74,PC,PT	4 	3 	3 	3 	3 	2 	3 
F,Y15-74,PC,RO	1 	: 	: 	: 	: 	: 	1 
F,Y15-74,PC,SE	7 	7 	7 	7 	7 	7 	7 
F,Y15-74,PC,SI	3 	1 	2 	1 	2 	2 	2 
F,Y15-74,PC,SK	2 	2 	2 	1 	1 	1 	1 
F,Y15-74,PC,UK	3 	3 	3 	3 	3 	3 	2 
F,Y25-54,PC,AT	3 	3 	3 	2 	2 	3 	3 
F,Y25-54,PC,BG	1 	1 	2 	2 	2 	1 	2 
F,Y25-54,PC,CY	3 	3 	2 	2 	2 	2 	2 
F,Y25-54,PC,CZ	2 	2 	2 	2 	2 	2 	2 
F,Y25-54,PC,DK	6 	6 	5 	5 	5 	4 	4 
F,Y25-54,PC,EE	4 	3 	3 	3 	3 	3 	4 
F,Y25-54,PC,EL	1 	1 	1 	1 	1 	1 	1 
F,Y25-54,PC,ES	4 	3 	3 	3 	3 	3 	3 
F,Y25-54,PC,FI	5 	5 	4 	4 	4 	5 	5 
F,Y25-54,PC,FR	2 	2 	2 	2 	2 	3 	3 
F,Y25-54,PC,HR	3 	2 	2 	2 	1 	1 	1 
F,Y25-54,PC,HU	2 	2 	2 	2 	2 	2 	1 
F,Y25-54,PC,IE	2 	2 	2 	2 	2 	2 	2 
F,Y25-54,PC,IT	2 	2 	2 	2 	2 	2 	2 
F,Y25-54,PC,LT	4 	4 	3 	2 	2 	2 	2 
F,Y25-54,PC,LV	3 	3 	3 	3 	3 	3 	3 
F,Y25-54,PC,MT	2 	2 	2 	2 	2 	2 	2 
F,Y25-54,PC,NL	3 	3 	3 	2 	2 	2 	2 
F,Y25-54,PC,NO	3 	3 	3 	3 	3 	3 	3 
F,Y25-54,PC,PL	2 	2 	2 	2 	2 	2 	2 
F,Y25-54,PC,PT	3 	3 	3 	3 	2 	2 	3 
F,Y25-54,PC,RO	1 	: 	: 	: 	: 	: 	1 
F,Y25-54,PC,SE	6 	5 	6 	5 	5 	5 	5 
F,Y25-54,PC,SI	2 	1 	2 	1 	2 	2 	2 
F,Y25-54,PC,SK	2 	2 	2 	1 	1 	1 	1 
F,Y25-54,PC,UK	3 	3 	3 	3 	2 	2 	2 
F,Y55-74,PC,AT	1 	1 	1 	1 	1 	1 	1 
F,Y55-74,PC,BG	1 	1 	1 	1 	1 	1 	1 
F,Y55-74,PC,CY	1 	2 	1 	1 	2 	1 	1 
F,Y55-74,PC,CZ	1 	1 	1 	1 	1 	1 	1 
F,Y55-74,PC,DK	2 	2 	1 	1 	1 	2 	1 
F,Y55-74,PC,EE	2 	1 	2 	1 	1 	1 	3 
F,Y55-74,PC,EL	0 	0 	0 	0 	0 	0 	0 
F,Y55-74,PC,ES	1 	1 	1 	1 	1 	1 	1 
F,Y55-74,PC,FI	2 	2 	2 	2 	1 	2 	2 
F,Y55-74,PC,FR	1 	1 	1 	1 	1 	2 	2 
F,Y55-74,PC,HR	1 	2 	2 	2 	1 	1 	1 
F,Y55-74,PC,HU	1 	2 	1 	1 	1 	1 	1 
F,Y55-74,PC,IE	1 	1 	1 	1 	1 	1 	1 
F,Y55-74,PC,IT	1 	1 	1 	1 	1 	1 	1 
F,Y55-74,PC,LT	2 	3 	2 	1 	1 	2 	2 
F,Y55-74,PC,LV	1 	1 	1 	2 	1 	2 	1 
F,Y55-74,PC,MT	: 	2 	4 	3 	3 	3 	3 
F,Y55-74,PC,NL	1 	1 	1 	1 	0 	1 	1 
F,Y55-74,PC,NO	1 	1 	1 	1 	1 	1 	1 
F,Y55-74,PC,PL	1 	1 	1 	1 	1 	1 	1 
F,Y55-74,PC,PT	1 	1 	1 	1 	1 	1 	1 
F,Y55-74,PC,RO	0 	: 	: 	: 	: 	: 	0 
F,Y55-74,PC,SE	5 	4 	5 	4 	4 	4 	4 
F,Y55-74,PC,SI	0 	1 	2 	1 	2 	2 	2 
F,Y55-74,PC,SK	1 	1 	1 	1 	1 	1 	1 
F,Y55-74,PC,UK	1 	1 	1 	1 	1 	1 	1 
M,Y15-24,PC,AT	7 	7 	7 	7 	7 	7 	8 
M,Y15-24,PC,BG	4 	5 	3 	5 	5 	4 	2 
M,Y15-24,PC,CY	8 	11 	5 	9 	6 	5 	7 
M,Y15-24,PC,CZ	5 	6 	4 	5 	4 	4 	5 
M,Y15-24,PC,DK	14 	14 	11 	13 	13 	11 	12 
M,Y15-24,PC,EE	11 	5 	6 	9 	8 	10 	8 
M,Y15-24,PC,EL	2 	2 	3 	3 	2 	2 	2 
M,Y15-24,PC,ES	14 	13 	12 	11 	10 	8 	9 
M,Y15-24,PC,FI	16 	16 	12 	14 	13 	16 	14 
M,Y15-24,PC,FR	10 	10 	8 	9 	8 	12 	12 
M,Y15-24,PC,HR	6 	9 	7 	6 	5 	6 	3 
M,Y15-24,PC,HU	5 	5 	5 	5 	5 	4 	3 
M,Y15-24,PC,IE	8 	7 	8 	6 	5 	5 	5 
M,Y15-24,PC,IT	7 	6 	6 	6 	5 	5 	5 
M,Y15-24,PC,LT	11 	12 	8 	6 	7 	5 	5 
M,Y15-24,PC,LV	7 	6 	7 	8 	8 	5 	6 
M,Y15-24,PC,MT	5 	7 	7 	4 	7 	7 	4 
M,Y15-24,PC,NL	11 	10 	10 	9 	8 	9 	9 
M,Y15-24,PC,NO	7 	7 	6 	8 	8 	9 	8 
M,Y15-24,PC,PL	6 	5 	6 	6 	5 	5 	6 
M,Y15-24,PC,PT	12 	12 	11 	10 	8 	8 	8 
M,Y15-24,PC,RO	2 	: 	: 	: 	: 	: 	2 
M,Y15-24,PC,SE	16 	18 	19 	18 	18 	18 	19 
M,Y15-24,PC,SI	10 	5 	9 	3 	8 	7 	7 
M,Y15-24,PC,SK	5 	6 	6 	4 	3 	2 	2 
M,Y15-24,PC,UK	7 	7 	7 	7 	6 	6 	6 
M,Y15-74,PC,AT	3 	3 	3 	3 	3 	3 	3 
M,Y15-74,PC,BG	2 	2 	2 	2 	2 	2 	1 
M,Y15-74,PC,CY	3 	4 	3 	3 	2 	2 	3 
M,Y15-74,PC,CZ	2 	2 	2 	1 	1 	1 	2 
M,Y15-74,PC,DK	6 	6 	5 	6 	5 	5 	5 
M,Y15-74,PC,EE	4 	3 	3 	3 	3 	3 	4 
M,Y15-74,PC,EL	1 	1 	1 	1 	1 	1 	1 
M,Y15-74,PC,ES	4 	4 	4 	3 	3 	3 	3 
M,Y15-74,PC,FI	5 	5 	4 	4 	4 	4 	4 
M,Y15-74,PC,FR	3 	3 	2 	2 	2 	4 	4 
M,Y15-74,PC,HR	2 	2 	2 	1 	2 	1 	1 
M,Y15-74,PC,HU	2 	2 	2 	2 	2 	2 	1 
M,Y15-74,PC,IE	3 	3 	2 	2 	2 	2 	2 
M,Y15-74,PC,IT	2 	2 	2 	2 	2 	2 	2 
M,Y15-74,PC,LT	5 	6 	3 	3 	4 	3 	3 
M,Y15-74,PC,LV	3 	3 	3 	3 	4 	4 	3 
M,Y15-74,PC,MT	3 	3 	2 	2 	3 	3 	2 
M,Y15-74,PC,NL	4 	4 	3 	3 	3 	3 	3 
M,Y15-74,PC,NO	3 	3 	3 	3 	4 	4 	4 
M,Y15-74,PC,PL	2 	2 	2 	2 	2 	2 	2 
M,Y15-74,PC,PT	4 	4 	3 	3 	3 	3 	3 
M,Y15-74,PC,RO	1 	: 	: 	: 	: 	: 	1 
M,Y15-74,PC,SE	6 	6 	6 	5 	5 	5 	6 
M,Y15-74,PC,SI	3 	1 	2 	1 	2 	2 	2 
M,Y15-74,PC,SK	2 	2 	2 	1 	1 	1 	1 
M,Y15-74,PC,UK	3 	3 	3 	3 	3 	3 	2 
M,Y25-54,PC,AT	3 	3 	2 	2 	2 	2 	3 
M,Y25-54,PC,BG	2 	2 	2 	2 	2 	2 	1 
M,Y25-54,PC,CY	4 	3 	3 	2 	2 	2 	3 
M,Y25-54,PC,CZ	2 	2 	1 	1 	1 	1 	1 
M,Y25-54,PC,DK	6 	6 	5 	6 	5 	4 	5 
M,Y25-54,PC,EE	5 	3 	3 	3 	3 	3 	4 
M,Y25-54,PC,EL	1 	1 	1 	1 	1 	1 	1 
M,Y25-54,PC,ES	4 	4 	4 	3 	3 	3 	3 
M,Y25-54,PC,FI	4 	4 	3 	3 	3 	3 	4 
M,Y25-54,PC,FR	3 	3 	2 	2 	2 	3 	3 
M,Y25-54,PC,HR	2 	2 	2 	1 	2 	1 	1 
M,Y25-54,PC,HU	2 	2 	2 	2 	2 	2 	1 
M,Y25-54,PC,IE	2 	3 	2 	2 	2 	2 	2 
M,Y25-54,PC,IT	2 	2 	2 	2 	2 	2 	2 
M,Y25-54,PC,LT	5 	6 	3 	2 	3 	3 	3 
M,Y25-54,PC,LV	3 	3 	3 	3 	3 	4 	3 
M,Y25-54,PC,MT	3 	3 	2 	1 	2 	2 	1 
M,Y25-54,PC,NL	3 	3 	3 	3 	2 	2 	3 
M,Y25-54,PC,NO	3 	3 	3 	3 	3 	4 	4 
M,Y25-54,PC,PL	2 	2 	2 	2 	2 	2 	2 
M,Y25-54,PC,PT	4 	4 	3 	3 	3 	3 	3 
M,Y25-54,PC,RO	1 	: 	: 	: 	: 	: 	1 
M,Y25-54,PC,SE	5 	5 	5 	4 	4 	4 	5 
M,Y25-54,PC,SI	3 	1 	2 	1 	2 	2 	2 
M,Y25-54,PC,SK	2 	2 	2 	1 	1 	1 	1 
M,Y25-54,PC,UK	3 	3 	3 	3 	2 	2 	2 
M,Y55-74,PC,AT	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,BG	2 	1 	1 	1 	1 	2 	1 
M,Y55-74,PC,CY	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,CZ	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,DK	2 	2 	2 	2 	2 	2 	2 
M,Y55-74,PC,EE	2 	3 	2 	2 	2 	3 	2 
M,Y55-74,PC,EL	0 	0 	1 	1 	0 	0 	0 
M,Y55-74,PC,ES	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,FI	2 	2 	2 	2 	2 	2 	2 
M,Y55-74,PC,FR	1 	1 	1 	1 	1 	2 	2 
M,Y55-74,PC,HR	1 	2 	1 	1 	1 	1 	1 
M,Y55-74,PC,HU	1 	1 	2 	2 	1 	1 	1 
M,Y55-74,PC,IE	1 	1 	1 	0 	0 	1 	1 
M,Y55-74,PC,IT	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,LT	4 	4 	2 	2 	2 	2 	2 
M,Y55-74,PC,LV	1 	2 	2 	2 	3 	2 	3 
M,Y55-74,PC,MT	1 	1 	2 	2 	1 	1 	1 
M,Y55-74,PC,NL	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,NO	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,PL	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,PT	1 	1 	1 	1 	1 	1 	1 
M,Y55-74,PC,RO	1 	: 	: 	: 	: 	: 	1 
M,Y55-74,PC,SE	3 	3 	3 	3 	3 	3 	3 
M,Y55-74,PC,SI	1 	0 	1 	1 	1 	1 	0 
M,Y55-74,PC,SK	1 	2 	1 	1 	1 	0 	1 
M,Y55-74,PC,UK	1 	1 	1 	1 	1 	1 	1 
T,Y15-24,PC,AT	8 	8 	7 	7 	7 	7 	8 
T,Y15-24,PC,BG	4 	4 	3 	5 	5 	4 	3 
T,Y15-24,PC,CY	8 	10 	7 	9 	6 	6 	7 
T,Y15-24,PC,CZ	5 	6 	5 	5 	5 	4 	5 
T,Y15-24,PC,DK	14 	14 	11 	13 	13 	12 	12 
T,Y15-24,PC,EE	12 	9 	8 	9 	10 	8 	8 
T,Y15-24,PC,EL	3 	3 	3 	3 	2 	2 	2 
T,Y15-24,PC,ES	15 	13 	13 	11 	10 	9 	9 
T,Y15-24,PC,FI	16 	18 	15 	15 	15 	16 	16 
T,Y15-24,PC,FR	10 	10 	10 	10 	9 	12 	12 
T,Y15-24,PC,HR	7 	8 	8 	7 	5 	5 	4 
T,Y15-24,PC,HU	6 	6 	5 	5 	5 	4 	3 
T,Y15-24,PC,IE	7 	7 	8 	6 	6 	6 	5 
T,Y15-24,PC,IT	8 	7 	7 	7 	6 	6 	5 
T,Y15-24,PC,LT	9 	12 	8 	6 	6 	5 	5 
T,Y15-24,PC,LV	5 	6 	6 	7 	7 	6 	5 
T,Y15-24,PC,MT	5 	5 	6 	6 	7 	7 	6 
T,Y15-24,PC,NL	11 	11 	11 	9 	8 	9 	9 
T,Y15-24,PC,NO	7 	7 	7 	8 	8 	9 	8 
T,Y15-24,PC,PL	6 	6 	6 	6 	5 	6 	6 
T,Y15-24,PC,PT	13 	12 	12 	11 	9 	8 	8 
T,Y15-24,PC,RO	2 	: 	: 	: 	: 	: 	2 
T,Y15-24,PC,SE	18 	19 	21 	21 	21 	22 	22 
T,Y15-24,PC,SI	10 	5 	11 	4 	7 	8 	9 
T,Y15-24,PC,SK	5 	6 	6 	4 	3 	3 	3 
T,Y15-24,PC,UK	7 	7 	7 	7 	7 	6 	6 
T,Y15-74,PC,AT	3 	3 	3 	3 	3 	3 	3 
T,Y15-74,PC,BG	2 	2 	1 	2 	2 	2 	1 
T,Y15-74,PC,CY	3 	4 	3 	3 	2 	2 	2 
T,Y15-74,PC,CZ	2 	2 	2 	2 	2 	1 	2 
T,Y15-74,PC,DK	6 	6 	5 	6 	5 	5 	5 
T,Y15-74,PC,EE	4 	3 	3 	3 	3 	3 	4 
T,Y15-74,PC,EL	1 	1 	1 	1 	1 	1 	1 
T,Y15-74,PC,ES	4 	4 	4 	3 	3 	3 	3 
T,Y15-74,PC,FI	5 	5 	4 	4 	4 	5 	5 
T,Y15-74,PC,FR	3 	3 	3 	2 	2 	4 	4 
T,Y15-74,PC,HR	3 	2 	2 	2 	1 	1 	1 
T,Y15-74,PC,HU	2 	2 	2 	2 	2 	2 	1 
T,Y15-74,PC,IE	3 	2 	2 	2 	2 	2 	2 
T,Y15-74,PC,IT	2 	2 	2 	2 	2 	2 	2 
T,Y15-74,PC,LT	4 	5 	3 	2 	3 	3 	3 
T,Y15-74,PC,LV	3 	3 	3 	3 	3 	3 	3 
T,Y15-74,PC,MT	3 	2 	3 	2 	3 	3 	2 
T,Y15-74,PC,NL	4 	4 	4 	3 	3 	3 	3 
T,Y15-74,PC,NO	3 	3 	3 	3 	3 	4 	3 
T,Y15-74,PC,PL	2 	2 	2 	2 	2 	2 	2 
T,Y15-74,PC,PT	4 	4 	3 	3 	3 	3 	3 
T,Y15-74,PC,RO	1 	: 	: 	: 	: 	: 	1 
T,Y15-74,PC,SE	6 	6 	6 	6 	6 	6 	6 
T,Y15-74,PC,SI	3 	1 	2 	1 	2 	2 	2 
T,Y15-74,PC,SK	2 	2 	2 	1 	1 	1 	1 
T,Y15-74,PC,UK	3 	3 	3 	3 	3 	3 	2 
T,Y25-54,PC,AT	3 	3 	2 	2 	2 	2 	3 
T,Y25-54,PC,BG	2 	2 	2 	2 	2 	2 	1 
T,Y25-54,PC,CY	3 	3 	3 	2 	2 	2 	2 
T,Y25-54,PC,CZ	2 	2 	2 	2 	2 	1 	2 
T,Y25-54,PC,DK	6 	6 	5 	5 	5 	4 	5 
T,Y25-54,PC,EE	4 	3 	3 	3 	3 	3 	4 
T,Y25-54,PC,EL	1 	1 	1 	1 	1 	1 	1 
T,Y25-54,PC,ES	4 	4 	4 	3 	3 	3 	3 
T,Y25-54,PC,FI	4 	4 	3 	4 	4 	4 	4 
T,Y25-54,PC,FR	3 	2 	2 	2 	2 	3 	3 
T,Y25-54,PC,HR	3 	2 	2 	1 	1 	1 	1 
T,Y25-54,PC,HU	2 	2 	2 	2 	2 	2 	1 
T,Y25-54,PC,IE	2 	2 	2 	2 	2 	2 	2 
T,Y25-54,PC,IT	2 	2 	2 	2 	2 	2 	2 
T,Y25-54,PC,LT	4 	5 	3 	2 	2 	3 	3 
T,Y25-54,PC,LV	3 	3 	3 	3 	3 	4 	3 
T,Y25-54,PC,MT	3 	2 	2 	2 	2 	2 	2 
T,Y25-54,PC,NL	3 	3 	3 	2 	2 	2 	3 
T,Y25-54,PC,NO	3 	3 	3 	3 	3 	3 	3 
T,Y25-54,PC,PL	2 	2 	2 	2 	2 	2 	2 
T,Y25-54,PC,PT	4 	4 	3 	3 	3 	2 	3 
T,Y25-54,PC,RO	1 	: 	: 	: 	: 	: 	1 
T,Y25-54,PC,SE	5 	5 	5 	5 	5 	5 	5 
T,Y25-54,PC,SI	3 	1 	2 	1 	2 	2 	2 
T,Y25-54,PC,SK	2 	2 	2 	1 	1 	1 	1 
T,Y25-54,PC,UK	3 	3 	3 	3 	2 	2 	2 
T,Y55-74,PC,AT	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,BG	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,CY	1 	2 	1 	1 	1 	1 	1 
T,Y55-74,PC,CZ	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,DK	2 	2 	2 	2 	2 	2 	2 
T,Y55-74,PC,EE	2 	2 	2 	1 	1 	1 	1 
T,Y55-74,PC,EL	0 	0 	1 	0 	0 	0 	0 
T,Y55-74,PC,ES	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,FI	2 	2 	2 	2 	2 	2 	2 
T,Y55-74,PC,FR	1 	1 	1 	1 	1 	2 	2 
T,Y55-74,PC,HR	1 	2 	1 	2 	1 	0 	0 
T,Y55-74,PC,HU	1 	1 	2 	1 	1 	1 	1 
T,Y55-74,PC,IE	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,IT	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,LT	3 	3 	2 	1 	2 	2 	2 
T,Y55-74,PC,LV	1 	1 	1 	2 	2 	2 	2 
T,Y55-74,PC,MT	1 	1 	2 	1 	1 	1 	1 
T,Y55-74,PC,NL	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,NO	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,PL	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,PT	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,RO	0 	: 	: 	: 	: 	: 	0 
T,Y55-74,PC,SE	4 	4 	4 	4 	4 	3 	3 
T,Y55-74,PC,SI	1 	0 	1 	0 	1 	1 	0 
T,Y55-74,PC,SK	1 	2 	1 	1 	1 	1 	1 
T,Y55-74,PC,UK	1 	1 	1 	1 	1 	1 	1 
